epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8482,2.17806,3.34534,1.38566,0.00391,0.52855,0.03167,0.01324,1.98984,4.17097,1.42359,0.000548543,0.000548543,0.000548543
2,30.1311,2.05463,2.36935,1.33354,0.79636,0.01794,0.09025,0.03718,2.30064,4.01046,1.60675,0.00106048,0.00106048,0.00106048
3,43.5723,2.08054,2.06457,1.34674,0.4699,0.30995,0.30943,0.11324,2.3095,2.801,1.66622,0.00152841,0.00152841,0.00152841
4,56.9736,2.07775,1.83685,1.3233,0.57265,0.42251,0.45579,0.1881,2.09056,1.92375,1.39607,0.00146896,0.00146896,0.00146896
5,70.9596,2.01721,1.70333,1.32081,0.57093,0.46982,0.51938,0.2134,2.03265,1.85905,1.41283,0.00140295,0.00140295,0.00140295
6,84.5174,2.00047,1.63264,1.30558,0.56235,0.45905,0.48844,0.21287,1.96206,1.68458,1.36866,0.00133693,0.00133693,0.00133693
7,98.3197,1.96718,1.5251,1.28233,0.50607,0.46819,0.47229,0.20058,1.95749,1.807,1.35877,0.00127092,0.00127092,0.00127092
8,114.611,1.92455,1.44187,1.26427,0.63503,0.59217,0.6148,0.27261,1.89711,1.41621,1.32723,0.00120491,0.00120491,0.00120491
9,129.977,1.9063,1.38442,1.25702,0.68757,0.55628,0.63705,0.27567,1.85231,1.42158,1.31561,0.00113889,0.00113889,0.00113889
10,143.266,1.8791,1.35464,1.24824,0.63086,0.54323,0.59492,0.26818,1.90954,1.50606,1.35817,0.00107288,0.00107288,0.00107288
11,156.767,1.8633,1.33235,1.24131,0.71932,0.54812,0.64258,0.28397,1.8741,1.40423,1.32576,0.00100687,0.00100687,0.00100687
12,169.325,1.87699,1.32075,1.25183,0.74063,0.55628,0.6499,0.29054,1.88119,1.32843,1.28775,0.000940855,0.000940855,0.000940855
13,181.809,1.86624,1.24296,1.21103,0.74607,0.61501,0.70064,0.32422,1.83035,1.28186,1.29399,0.000874842,0.000874842,0.000874842
14,195.256,1.80135,1.20196,1.19606,0.76466,0.61664,0.71183,0.32956,1.81288,1.30975,1.29032,0.000808828,0.000808828,0.000808828
15,209.124,1.79241,1.20278,1.17788,0.77803,0.64274,0.73598,0.33751,1.80466,1.27707,1.26104,0.000742815,0.000742815,0.000742815
16,230.542,1.74331,1.15298,1.21833,0.64957,0.6199,0.66942,0.32815,1.82117,1.27303,1.26103,0.000676802,0.000676802,0.000676802
17,244.366,1.71378,1.11498,1.20444,0.75753,0.59217,0.68998,0.32233,1.83971,1.27843,1.29033,0.000610789,0.000610789,0.000610789
18,258.221,1.70007,1.07952,1.20078,0.76262,0.62367,0.71897,0.34903,1.80377,1.21204,1.2702,0.000544776,0.000544776,0.000544776
19,272.064,1.66508,1.06912,1.17858,0.80983,0.64274,0.74941,0.35872,1.75476,1.16276,1.23997,0.000478762,0.000478762,0.000478762
20,286.112,1.65043,1.0313,1.1734,0.81471,0.64763,0.76113,0.36922,1.73946,1.11359,1.2336,0.000412749,0.000412749,0.000412749
21,300.03,1.6488,1.00835,1.16792,0.82612,0.65742,0.76843,0.38171,1.73268,1.07256,1.23095,0.000346736,0.000346736,0.000346736
22,315.049,1.63402,0.98206,1.16483,0.80571,0.69331,0.7953,0.38553,1.74694,1.05435,1.24125,0.000280723,0.000280723,0.000280723
23,328.914,1.62228,0.96973,1.15247,0.8276,0.68915,0.79278,0.38429,1.73891,1.05366,1.22658,0.00021471,0.00021471,0.00021471
24,342.549,1.56774,0.93186,1.13367,0.84199,0.70147,0.80037,0.39646,1.71942,1.0369,1.21868,0.000148696,0.000148696,0.000148696
25,355.777,1.56851,0.94003,1.14112,0.79269,0.73409,0.80371,0.39471,1.72718,1.02613,1.22417,8.26832e-05,8.26832e-05,8.26832e-05
